author	ntokens
mysdavey	64103
grithor	64051
Arrogant	63948
Ironghost	63823
Rangvald	63680
Frabbe	63590
RollerBoySE	63478
mysen	63393
tergo	63376
janwindahl	63323
Bossieman	63321
Bluxor	63285
Azper	63277
tj.	63272
haiguise	63252
tempeZZt	63198
Glasstarta	63163
Mango123456	63157
Nytt-konto	63081
towb	63012
KillLovelyPony	62932
stillton	62719
DangerDoom	62461
Kaymano	62407
chaoswithin	62262
Fjodorov	62257
grodkungen	62056
Alfaslang	62034
Cracker-Jack...	62025
KönsKlas	61846
eshkoshka	61752
p9	61711
KalleKofot	61600
Civile99	61540
Etrade	61263
Skywallker	61071
max02	61048
ApocalypseDude	60917
AVGASBARN	60871
rAppmeister	60837
Noxid	60792
AquaRegia	60740
Kacki	60570
James-Michael-Mich...	60551
Mr. G	60453
Kalmar2004	60375
Dubstep	60257
Enydrion	60205
swimp78	60194
Hundvalp	59935
R4xx0r	59894
Peter_18	59875
cSx	59835
one_size	59766
Elementart	59753
Flammbar	59727
noremlac	59687
sandra_n	59517
Kupo	59493
Skattebrott	59483
noonelse	59456
WalterSullivan	59441
Rixton	59240
GataJ	58964
Dunderqvist	58861
Coupland	58784
[SIC]	58724
Davey	58677
Calavera	58462
Doktor_Bly	58294
Spelguden	58234
S.Y-Sophie	57788
The_Insane	57644
cynamoon	57508
superKing	57480
Sadisten123	57457
HAZARD17	57435
Out-of-Step	57273
SanCo	57248
tomo1	57214
N!xxo	57204
qirtero	57149
Windforce	57113
torteras78	57102
phreakdenta	57030
Durkslag	57022
Tropikhoe	56943
Zotamedu	56926
Pappersvargen	56911
Sane?	56875
Fladdermask	56863
Schnauzer	56717
occz	56713
Myztico	56663
BaalZeBub	56637
keleb	56621
ImWorthless	56427
Dexxy	56405
svulle	56390
Twitter	56331
markokask	56277
MeanME	55995
Zizierzrogba	55976
Kvasten	55954
sEBbe85	55811
Tankish	55793
TheBoot	55684
Hisper	55625
Caine777	55529
Xe89	55483
Sleepyoh22	55428
henriko	55405
Skez	55346
Ankish	55340
__087	55335
daaim	55181
Adobe	55143
PhasersOnFunk	55126
Esteem	55071
Krackshot	55057
Ubbe Cykelkedja	55044
Noh	54998
HerbsandInk	54879
Tomtebror	54776
rocsif	54730
warrior	54727
JesperL	54578
richard_swe	54546
yonny	54500
CMakaroni	54400
sneakydude	54329
zaphiren	54326
PaiN i Stugan^	54320
Istidraj	54205
Zartaza	54204
Ratcher	54131
Trollfeeder	54131
mattep74	54111
Jawop°	54067
shogun-r	54031
weakeSt Link	54015
adolf512	53943
Mr.Fredrik	53854
cold_cash	53823
stelex	53756
TheDevilFred	53729
woicer	53710
Gustino	53644
Hfuhruhurr	53524
Golachab	53362
Netzach	53347
Caesare	53175
Forzo	53128
Deca7000	53063
ikosaedri	53040
jastor	53011
Olepeter	52927
rytterstedt	52924
miikos	52872
Andiders	52783
stros	52781
DigGaN	52759
kh31d4r	52621
PXK	52512
k0da	52487
Djurmo	52463
kattrumpa	52394
Muppenro	52345
MarcoBolan	52336
BrainDisorder	52201
Kravi	52180
DivisionByZero	52121
gonimbe	52100
Heffadynga	52084
cheeff	52076
BizzareAdvokado1989	52071
Methos	51868
Shejken	51804
TMM	51776
Ondahamstern	51738
iamfake	51729
ICanHas	51721
